1, -53, -35, 322, 442, 29, 29, 12, 2, 14, 10, 8, 4, 0, 0, 0, 0, 0, 
1, -32, 22, 470, 161, 63, 63, 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, -30, -19, 54, 258, 56, 56, 3, 36, 36, 20, 16, 1, 0, 0, 0, 0, 0, 
1, -29, 30, 424, 158, 55, 55, 96, 10, 10, 19, 17, 10, 21, 28, 20, 16, 9, 
1, -20, -6, 389, 157, 46, 46, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, -18, 7, 153, 182, 46, 46, 35, 9, 0, 16, 14, 3, 0, 0, 0, 0, 0, 
1, -10, 32, 548, 211, 97, 97, 46, 28, 59, 34, 30, 14, 28, 29, 34, 29, 14, 
1, -5, 27, 290, 143, 41, 41, 55, 27, 10, 14, 13, 18, 12, 14, 15, 13, 18, 
1, -10, 6, 211, 40, 31, 31, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 2, 7, 212, 98, 93, 93, 4, 0, 31, 33, 28, 6, 0, 0, 0, 0, 0, 
1, -61, 10, 485, 128, 81, 81, 95, 5, 2, 28, 24, 4, 0, 0, 0, 0, 0, 
0, -52, -51, 159, 213, 50, 50, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, -30, 19, 199, 87, 81, 81, 59, 24, 5, 29, 24, 14, 0, 0, 0, 0, 0, 
1, -22, 23, 343, 114, 70, 70, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 1, 20, 119, 86, 80, 80, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 32, 34, 294, 172, 55, 55, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, -53, -42, 217, 153, 45, 45, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, -50, -41, 403, -10, 36, 36, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, -49, -11, 408, 170, 91, 91, 42, 36, 11, 32, 28, 16, 0, 0, 0, 0, 0, 
0, -29, -24, 483, 25, 100, 100, 4, 1, 25, 35, 30, 14, 0, 0, 0, 0, 0, 
1, -19, 15, 195, 147, 122, 122, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, -16, 28, 275, 188, 127, 127, 85, 25, 32, 45, 38, 36, 0, 0, 0, 0, 0, 
1, -13, 23, 493, 213, 107, 107, 59, 44, 28, 38, 32, 18, 0, 0, 0, 0, 0, 
1, -13, 19, 132, 134, 96, 96, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 24, 36, 498, 171, 90, 90, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, -18, -18, 618, 160, 47, 47, 1, 0, 0, 16, 14, 80, 0, 0, 0, 0, 0, 
1, -10, 3, 480, 218, 26, 26, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, -51, -51, 164, 334, 40, 40, 1, 14, 9, 14, 12, 19, 0, 13, 14, 12, 15, 
1, -34, 46, 93, 155, 104, 104, 76, 52, 27, 36, 31, 66, 16, 25, 36, 31, 40, 
1, 18, 39, 14, 286, 100, 100, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, -70, 70, 206, 105, 143, 143, 27, 21, 98, 51, 43, 6, 0, 0, 0, 0, 0, 
0, -37, -37, 554, 51, 63, 63, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, -10, -10, 107, 71, 55, 55, 1, 36, 16, 19, 16, 4, 0, 0, 0, 0, 0, 
0, 19, 20, 275, 83, 79, 79, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
